operacao,quantidade_de_elementos,tempo_gasto_em_segundos
inserir,0,0.000001
inserir,10,0.000002
inserir,100,0.000002
inserir,1000,0.000002
inserir,10000,0.000003
inserir,100000,0.000007
inserir,1000000,0.000007
inserir,10000000,0.000007
busca,0,0.000001
busca,10,0.000001
busca,100,0.000001
busca,1000,0.000002
busca,10000,0.000002
busca,100000,0.000002
busca,1000000,0.000002
busca,10000000,0.000009
remover,0,0.000001
remover,10,0.000002
remover,100,0.000002
remover,1000,0.000002
remover,10000,0.000003
remover,100000,0.000003
remover,1000000,0.000004
remover,10000000,0.000004
minimo,0,0.000001
minimo,10,0.000002
minimo,100,0.000002
minimo,1000,0.000002
minimo,10000,0.000003
minimo,100000,0.000007
minimo,1000000,0.000007
minimo,10000000,0.000035
maximo,0,0.000001
maximo,10,0.000002
maximo,100,0.000002
maximo,1000,0.000002
maximo,10000,0.000003
maximo,100000,0.000007
maximo,1000000,0.000004
maximo,10000000,0.000010
altura,0,0.000001
altura,10,0.000002
altura,100,0.000002
altura,1000,0.000002
altura,10000,0.000003
altura,100000,0.000007
altura,1000000,0.000004
altura,10000000,0.000004
ordenar,0,0.000001
ordenar,10,0.000002
ordenar,100,0.000002
ordenar,1000,0.000002
ordenar,10000,0.000003
ordenar,100000,0.000003
ordenar,1000000,0.000004
ordenar,10000000,0.000004
