operacao,quantidade_de_elementos,tempo_gasto_em_segundos
inserir,0,0.000003
inserir,10,0.000003
inserir,100,0.000003
inserir,1000,0.000003
inserir,10000,0.000003
inserir,100000,0.000003
inserir,1000000,0.000003
inserir,10000000,0.000003
busca,0,0.000001
busca,10,0.000002
busca,100,0.000003
busca,1000,0.000003
busca,10000,0.000046
busca,100000,0.000386
busca,1000000,0.004707
busca,10000000,0.051534
remocao,0,0.000001
remocao,10,0.000002
remocao,100,0.000002
remocao,1000,0.000002
remocao,10000,0.000031
remocao,100000,0.000461
remocao,1000000,0.003512
remocao,10000000,0.044129
