operacao,quantidade_de_elementos,tempo_gasto_em_segundos
inserir,0,0.000001
inserir,10,0.000001
inserir,100,0.000002
inserir,1000,0.000002
inserir,10000,0.000025
inserir,100000,0.000234
inserir,1000000,0.002815
inserir,10000000,0.023818
busca,0,0.000001
busca,10,0.000002
busca,100,0.000003
busca,1000,0.000003
busca,10000,0.000035
busca,100000,0.000170
busca,1000000,0.002705
busca,10000000,0.024134
remocao,0,0.000001
remocao,10,0.000001
remocao,100,0.000001
remocao,1000,0.000003
remocao,10000,0.000015
remocao,100000,0.000214
remocao,1000000,0.002684
remocao,10000000,0.028684
merge_sort,0,0.000001
merge_sort,10,0.000002
merge_sort,100,0.0000245
merge_sort,1000,0.0002654
merge_sort,10000,0.001615
merge_sort,100000,0.021214
merge_sort,1000000,0.250834
merge_sort,10000000,2.905169
insert_sort,0,0.000001
insert_sort,10,0.000050
insert_sort,100,0.000213
insert_sort,1000,0.004654
insert_sort,10000,0.161615
insert_sort,100000,8.284607
insert_sort,1000000,--------
insert_sort,10000000,--------
