estrutura,quantidade_de_elementos,tempo_gasto_em_segundos
lista_linear,0,0.000001
lista_linear,10,0.000002
lista_linear,100,0.000003
lista_linear,1000,0.000003
lista_linear,10000,0.000035
lista_linear,100000,0.000170
lista_linear,1000000,0.002705
lista_linear,10000000,0.024134
lista_encadeada,0,0.000001
lista_encadeada,10,0.000002
lista_encadeada,100,0.000003
lista_encadeada,1000,0.000003
lista_encadeada,10000,0.000046
lista_encadeada,100000,0.000386
lista_encadeada,1000000,0.004707
lista_encadeada,10000000,0.051534
arvore,0,0.000001
arvore,10,0.000001
arvore,100,0.000001
arvore,1000,0.000002
arvore,10000,0.000002
arvore,100000,0.000002
arvore,1000000,0.000002
arvore,10000000,0.000009
